311 loss is 12.888516426086426, paramters w:0.11679592728614807, b:-0.07892239093780518
312 loss is 12.886556625366211, paramters w:0.1171659305691719, b:-0.07916568219661713
313 loss is 12.884594917297363, paramters w:0.11753591150045395, b:-0.0794089138507843
314 loss is 12.882635116577148, paramters w:0.1179058626294136, b:-0.0796520859003067
315 loss is 12.88067626953125, paramters w:0.11827578395605087, b:-0.07989519834518433
316 loss is 12.878718376159668, paramters w:0.11864568293094635, b:-0.08013825118541718
317 loss is 12.87675952911377, paramters w:0.11901555210351944, b:-0.08038124442100525
318 loss is 12.87480354309082, paramters w:0.11938539147377014, b:-0.08062417805194855
319 loss is 12.872843742370605, paramters w:0.11975520849227905, b:-0.08086705207824707
320 loss is 12.870885848999023, paramters w:0.12012499570846558, b:-0.08110985904932022
321 loss is 12.868931770324707, paramters w:0.12049475312232971, b:-0.0813526064157486
322 loss is 12.866976737976074, paramters w:0.12086448818445206, b:-0.0815952941775322
323 loss is 12.865018844604492, paramters w:0.12123419344425201, b:-0.08183792233467102
324 loss is 12.863064765930176, paramters w:0.12160386890172958, b:-0.08208049088716507
325 loss is 12.861111640930176, paramters w:0.12197352200746536, b:-0.08232299983501434
326 loss is 12.859155654907227, paramters w:0.12234314531087875, b:-0.08256544917821884
327 loss is 12.857203483581543, paramters w:0.12271273881196976, b:-0.08280783891677856
328 loss is 12.855252265930176, paramters w:0.12308230996131897, b:-0.08305016905069351
329 loss is 12.853299140930176, paramters w:0.1234518513083458, b:-0.08329243957996368
330 loss is 12.851346015930176, paramters w:0.12382136285305023, b:-0.08353465050458908
331 loss is 12.849393844604492, paramters w:0.12419085204601288, b:-0.0837768018245697
332 loss is 12.847442626953125, paramters w:0.12456031143665314, b:-0.08401888608932495
333 loss is 12.845492362976074, paramters w:0.12492974102497101, b:-0.08426091074943542
334 loss is 12.843544006347656, paramters w:0.1252991408109665, b:-0.08450287580490112
335 loss is 12.841592788696289, paramters w:0.1256685107946396, b:-0.08474478125572205
336 loss is 12.839645385742188, paramters w:0.1260378658771515, b:-0.0849866271018982
337 loss is 12.837697982788086, paramters w:0.126407191157341, b:-0.08522841334342957
338 loss is 12.835748672485352, paramters w:0.12677648663520813, b:-0.08547013998031616
339 loss is 12.83380126953125, paramters w:0.12714575231075287, b:-0.08571180701255798
340 loss is 12.831853866577148, paramters w:0.12751498818397522, b:-0.08595341444015503
341 loss is 12.829907417297363, paramters w:0.12788419425487518, b:-0.0861949622631073
342 loss is 12.827961921691895, paramters w:0.12825338542461395, b:-0.0864364504814148
343 loss is 12.826016426086426, paramters w:0.12862254679203033, b:-0.08667787909507751
344 loss is 12.824070930480957, paramters w:0.12899167835712433, b:-0.08691924810409546
345 loss is 12.822126388549805, paramters w:0.12936078011989594, b:-0.08716055750846863
346 loss is 12.820180892944336, paramters w:0.12972985208034515, b:-0.08740180730819702
347 loss is 12.818239212036133, paramters w:0.13009889423847198, b:-0.08764299750328064
348 loss is 12.816296577453613, paramters w:0.13046792149543762, b:-0.08788412809371948
